,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20200317,open a position,option(delta>0.5),0.36718284285396396,10002286.SH,2.65,0.36718284285396396,0.0815,0.43014904856681824,0.5738449044367674,2.301666820556147,0.15527663794285587,-1.552765439792022
20200318,close a position,option(delta<0.25),0.09615206200774923,10002068.SH,2.85,0.048076031003874614,0.0037,0.3895430862903595,0.0617958365816971,0.8631412279862999,0.044195883690189536,-0.4520125829027926
20200318,close a position,option(delta>0.25),1.9038479379922508,10002067.SH,2.8,0.9519239689961254,0.0056,0.3594456613063812,0.09382208008191822,1.285088578733117,0.060717064938274605,-0.5737960404484007
20200318,close a position,option(delta<0.5),-0.632817157146036,10002065.SH,2.7,0.632817157146036,0.0162,0.3113735020160675,0.24674308739429507,2.7953250621893146,0.11440853631681287,-0.9413584762461461
20200318,close a position,option(delta>0.5),-0.36718284285396396,10002286.SH,2.65,0.36718284285396396,0.0308,0.3064965307712555,0.3989876545981871,3.474440145653845,0.13997641215112963,-1.138798845026064
20200318,open a position,option(delta<0.25),-1.957214728045525,10002065.SH,2.7,0.9786073640227625,0.0162,0.3113735020160675,0.24674308739429507,2.7953250621893146,0.11440853631681287,-0.9413584762461461
20200318,open a position,option(delta>0.25),-0.04278527195447501,10002286.SH,2.65,0.021392635977237506,0.0308,0.3064965307712555,0.3989876545981871,3.474440145653845,0.13997641215112963,-1.138798845026064
20200318,open a position,option(delta<0.5),0.43753488885124875,10002286.SH,2.65,0.43753488885124875,0.0308,0.3064965307712555,0.3989876545981871,3.474440145653845,0.13997641215112963,-1.138798845026064
20200318,open a position,option(delta>0.5),0.5624651111487513,10002285.SH,2.6,0.5624651111487513,0.0528,0.29582807421684265,0.5785762964528085,3.6472343624991264,0.1418232773965573,-1.1230730452917996
20200319,close a position,option(delta<0.25),1.957214728045525,10002065.SH,2.7,0.9786073640227625,0.0083,0.36240872740745544,0.13962813151402276,1.8648704516789552,0.07303680101893119,-0.8120981764809305
20200319,close a position,option(delta>0.25),0.04278527195447501,10002286.SH,2.65,0.021392635977237506,0.0166,0.35648807883262634,0.2445429632173171,2.679815771412052,0.10323913990051527,-1.1316486435167243
20200319,close a position,option(delta<0.5),-0.43753488885124875,10002286.SH,2.65,0.43753488885124875,0.0166,0.35648807883262634,0.2445429632173171,2.679815771412052,0.10323913990051527,-1.1316486435167243
20200319,close a position,option(delta>0.5),-0.5624651111487513,10002285.SH,2.6,0.5624651111487513,0.0319,0.3591148555278778,0.3925563661153629,3.256009887035837,0.12636113366614815,-1.3997446650143746
20200319,open a position,option(delta<0.25),1.9262629373308606,10002286.SH,2.65,0.9631314686654303,0.0166,0.35648807883262634,0.2445429632173171,2.679815771412052,0.10323913990051527,-1.1316486435167243
20200319,open a position,option(delta>0.25),0.07373706266913937,10002285.SH,2.6,0.03686853133456969,0.0319,0.3591148555278778,0.3925563661153629,3.256009887035837,0.12636113366614815,-1.3997446650143746
20200319,open a position,option(delta<0.5),-0.34851160802583264,10002285.SH,2.6,0.34851160802583264,0.0319,0.3591148555278778,0.3925563661153629,3.256009887035837,0.12636113366614815,-1.3997446650143746
20200319,open a position,option(delta>0.5),-0.6514883919741674,10002284.SH,2.55,0.6514883919741674,0.0569,0.3757024109363556,0.5574766244165997,3.196539669296489,0.12978320893972878,-1.510561946441679
20200320,close a position,option(delta<0.25),-1.9262629373308606,10002286.SH,2.65,0.9631314686654303,0.0252,0.2961007058620453,0.3977131737153694,4.242006192105711,0.11847195143877311,-1.3007744256965241
20200320,close a position,option(delta>0.25),-0.07373706266913937,10002285.SH,2.6,0.03686853133456969,0.0511,0.30715659260749817,0.6107158412311886,4.0651731270735585,0.11777244423861861,-1.3514006349795287
20200320,close a position,option(delta<0.5),0.34851160802583264,10002285.SH,2.6,0.34851160802583264,0.0511,0.30715659260749817,0.6107158412311886,4.0651731270735585,0.11777244423861861,-1.3514006349795287
20200320,close a position,option(delta>0.5),0.6514883919741674,10002284.SH,2.55,0.6514883919741674,0.0882,0.33380767703056335,0.7759982208412125,2.918099730627252,0.09187582509533339,-1.158373621553251
20200320,open a position,option(delta<0.25),1.61840665570503,10002065.SH,2.7,0.809203327852515,0.0111,0.29970696568489075,0.21517169293899335,3.175906492420782,0.08977787986353927,-0.9931777529371844
20200320,open a position,option(delta>0.25),0.38159334429496994,10002286.SH,2.65,0.19079667214748497,0.0252,0.2961007058620453,0.3977131737153694,4.242006192105711,0.11847195143877311,-1.3007744256965241
20200320,open a position,option(delta<0.5),-0.5197861722692557,10002286.SH,2.65,0.5197861722692557,0.0252,0.2961007058620453,0.3977131737153694,4.242006192105711,0.11847195143877311,-1.3007744256965241
20200320,open a position,option(delta>0.5),-0.4802138277307443,10002285.SH,2.6,0.4802138277307443,0.0511,0.30715659260749817,0.6107158412311886,4.0651731270735585,0.11777244423861861,-1.3514006349795287
20200323,close a position,option(delta<0.25),-1.61840665570503,10002065.SH,2.7,0.809203327852515,0.0016,0.4452115595340729,0.046585462788024556,1.1583716395938521,0.018418451247035592,-0.7506064543276939
20200323,close a position,option(delta>0.25),-0.38159334429496994,10002286.SH,2.65,0.19079667214748497,0.0048,0.42594966292381287,0.12232339382475471,2.518826285126741,0.038317331514314636,-1.4954643003766772
20200323,close a position,option(delta<0.5),0.5197861722692557,10002286.SH,2.65,0.5197861722692557,0.0048,0.42594966292381287,0.12232339382475471,2.518826285126741,0.038317331514314636,-1.4954643003766772
20200323,close a position,option(delta>0.5),0.4802138277307443,10002285.SH,2.6,0.4802138277307443,0.0145,0.4296099841594696,0.28969022693629104,4.2140587538147285,0.0646567265107413,-2.5491688247142927
20200327,open a position,option(delta<0.25),0.3962120810374908,10002337.SH,2.9,0.1981060405187454,0.0237,0.3087608516216278,0.19914831162824725,1.25876903350618,0.2006313868563745,-0.4450692608047212
20200327,open a position,option(delta>0.25),1.6037879189625093,10002336.SH,2.85,0.8018939594812546,0.0338,0.30796727538108826,0.2625627915236298,1.4733396818481597,0.23422759079853292,-0.5197886120197642
20200327,open a position,option(delta<0.5),-0.10202474195304774,10002334.SH,2.75,0.10202474195304774,0.065,0.30907580256462097,0.4207813873063672,1.7609742244675122,0.28096265582839686,-0.6308961543166122
20200327,open a position,option(delta>0.5),-0.8979752580469522,10002333.SH,2.7,0.8979752580469522,0.0866,0.30917415022850037,0.5090005358672407,1.7954819615679751,0.2865595039562317,-0.6475539110984013
20200330,close a position,option(delta<0.25),-0.3962120810374908,10002337.SH,2.9,0.1981060405187454,0.02,0.32081297039985657,0.17781031331182068,1.206463694897608,0.17517443910879066,-0.45505138778602644
20200330,close a position,option(delta>0.25),-1.6037879189625093,10002336.SH,2.85,0.8018939594812546,0.0283,0.3162003457546234,0.23598633656918933,1.4479497828708336,0.20721462309117838,-0.5319804207530945
20200330,close a position,option(delta<0.5),0.10202474195304774,10002334.SH,2.75,0.10202474195304774,0.0558,0.3127523958683014,0.3923818714383226,1.8266677895451942,0.25856204600199256,-0.6615690002643042
